latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.996483,23.709677,92.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°)
2019-11-24,15.4,7.10,16.4,76
2019-11-25,16.5,24.90,23.4,137
2019-11-26,13.6,3.30,9.8,9
2019-11-27,14.7,0.00,8.0,300
2019-11-28,16.8,0.00,14.0,227
2019-11-29,16.8,0.80,17.9,261
2019-11-30,15.9,0.20,15.2,283
2019-12-01,11.2,0.00,21.7,9
2019-12-02,10.0,0.00,10.0,7
2019-12-03,13.5,0.00,9.4,6
2019-12-04,11.3,1.00,17.1,21
2019-12-05,9.8,0.00,14.5,17
2019-12-06,9.4,0.00,9.6,355
2019-12-07,11.6,0.00,9.4,8
2019-12-08,11.2,0.00,10.6,10
2019-12-09,11.3,0.20,11.2,60
2019-12-10,13.0,21.10,15.9,98
2019-12-11,12.7,19.30,14.4,96
2019-12-12,11.1,5.70,10.7,19
2019-12-13,11.7,0.50,10.5,271
2019-12-14,12.4,22.50,32.1,184
2019-12-15,13.0,0.00,11.5,13
2019-12-16,14.5,0.00,7.8,12
2019-12-17,12.5,0.00,10.3,21
2019-12-18,12.4,0.00,10.1,29
2019-12-19,14.3,0.20,10.8,113
2019-12-20,15.6,1.20,16.8,184
2019-12-21,14.8,0.00,18.2,215
2019-12-22,16.1,4.90,33.2,194
2019-12-23,12.3,0.00,15.3,263
2019-12-24,10.0,0.00,22.6,316
2019-12-25,8.7,0.00,17.4,324
2019-12-26,7.9,0.00,21.5,344
2019-12-27,8.2,0.10,11.3,3
2019-12-28,6.3,0.20,23.7,353
2019-12-29,5.7,3.20,21.3,9
2019-12-30,4.7,49.20,20.9,353
2019-12-31,5.5,6.30,15.5,345
2020-01-01,5.8,1.90,17.6,14
2020-01-02,5.8,0.00,22.6,2
2020-01-03,6.9,0.00,22.0,348
2020-01-04,9.7,0.00,9.8,310
2020-01-05,8.5,15.40,24.7,358
2020-01-06,4.6,49.00,22.6,347
2020-01-07,5.0,8.40,26.1,349
2020-01-08,4.9,0.00,21.4,2
2020-01-09,5.4,0.00,16.9,351
2020-01-10,6.6,0.00,11.6,27
2020-01-11,8.1,0.00,10.0,19
2020-01-12,8.1,0.00,12.7,13
2020-01-13,8.2,0.00,11.2,5
2020-01-14,7.8,0.00,12.1,34
2020-01-15,8.7,0.00,14.1,18
2020-01-16,9.2,0.00,14.8,2
2020-01-17,8.6,0.00,15.9,351
2020-01-18,7.9,0.00,11.9,335
2020-01-19,7.3,0.00,11.5,338
2020-01-20,6.8,0.00,13.4,3
2020-01-21,6.0,0.00,14.5,359
2020-01-22,8.3,0.00,8.8,342
2020-01-23,8.5,0.00,20.7,28
2020-01-24,7.0,0.00,11.6,11
2020-01-25,10.1,0.00,8.0,354
2020-01-26,11.6,2.00,6.6,41
2020-01-27,11.6,4.30,11.1,191
2020-01-28,10.5,0.00,15.3,285
2020-01-29,12.2,0.00,11.4,247
2020-01-30,11.0,0.10,17.0,334
2020-01-31,9.3,0.00,11.8,249
2020-02-01,12.5,0.00,8.0,116
2020-02-02,13.0,0.00,5.9,156
2020-02-03,12.7,0.00,13.8,238
2020-02-04,12.8,0.00,12.7,213
2020-02-05,11.0,13.00,25.2,232
